sku,title,primary_path,mottaro_path,is_multi_category
MP135-YEL,"Motarro Painting Apron – Yellow, 480x330mm","Arts and Crafts > Art Supplies > Aprons","mottaro > mottaro-art-supplies > mottaro-art-aprons",yes
ME119-4,"Motarro Felt Bag – Pink, 25x30cm, 70g, 5 pcs","Arts and Crafts > Crafts > Felt Bags","mottaro > mottaro-crafts > mottaro-felt-bags",yes
MI103-3-PNK,"Motarro Compass Set – Pink, 8 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MP040-15,"Motarro Acrylic Paint – Light Green, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP169-2-BLU,"Motarro Acrylic Paint – Fluorescent, Blue, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MO006,"Motarro Blackboard – 20x30cm","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
MP172-2,"Motarro Tempera Set Paint – Fluorescent Colours, 6x15ml","Arts and Crafts > Art Supplies > Paints > Tempera","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-tempera",yes
MK008-3,"Motarro Correction Fluid And Pen – 7ml And 20ml","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MP040-5,"Motarro Acrylic Paint – Peach, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
ME095-Z,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
ME046-1,"Motarro Assorted Stamps – 25mm, 6 pcs","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MQ057-2-PNK,"Motarro EVA Zipping Bag – A5, Pink, 235x175mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
MP145-1,"Motarro Painting Palette – 85x85mm, 4 Grids","Arts and Crafts > Art Supplies > Painting Palettes","mottaro > mottaro-art-supplies > mottaro-painting-palettes",yes
MQ021-GRN,"Motarro Expanding File – A4, Green","Stationery > School & Office > Filing & Organisation","mottaro > mottaro-school-office > mottaro-filing-organisation",yes
ME395-1,"Motarro Crepe Paper – White, 35x10mm, 4 pcs","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
MU167-5,"Motarro Stickers Relief – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME036-2,"Motarro Embroidery Hoop – 180mm","Arts and Crafts > Crafts > Embroidery","mottaro > mottaro-crafts > mottaro-embroidery",yes
ME038-2,"Motarro Hot Glue Gun – 4 pcs","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
